dataset_id,column_name,source,unit,raw_or_adjusted,timestamp_semantics,pit_status,identifier_key,upstream_dependency,notes
equity_panel_kiwoom_2010_2016,날짜,vendor_kiwoom_or_krx,ISO_date,raw,T_trade_day,available_PIT,date_key,n/a,trade date
equity_panel_kiwoom_2010_2016,종목코드,vendor_kiwoom_or_krx,krx_ticker_6digit,raw,snapshot,available_PIT,ticker_key,n/a,KRX 6-digit code
equity_panel_kiwoom_2010_2016,종목명,vendor_kiwoom_or_krx,string,raw,snapshot,available_with_lookahead_risk,n/a,n/a,name as of panel build snapshot; rename history not preserved → lookahead risk on cross-time joins
equity_panel_kiwoom_2010_2016,시가,vendor_kiwoom_or_krx,KRW,raw_unadjusted,T_trade_day,available_PIT,n/a,n/a,RAW unadjusted open; corporate-action split makes pre-action history artifactual
equity_panel_kiwoom_2010_2016,고가,vendor_kiwoom_or_krx,KRW,raw_unadjusted,T_trade_day,available_PIT,n/a,n/a,RAW unadjusted high
equity_panel_kiwoom_2010_2016,저가,vendor_kiwoom_or_krx,KRW,raw_unadjusted,T_trade_day,available_PIT,n/a,n/a,RAW unadjusted low
equity_panel_kiwoom_2010_2016,종가,vendor_kiwoom_or_krx,KRW,raw_unadjusted,T_trade_day,available_PIT,n/a,n/a,RAW unadjusted close; same as KRX종가 by definition in pre-NXT period
equity_panel_kiwoom_2010_2016,거래량,vendor_kiwoom_or_krx,shares,raw_unadjusted,T_trade_day,available_PIT,n/a,n/a,RAW unadjusted shares; split-day artifactual
equity_panel_kiwoom_2010_2016,Change,vendor_kiwoom_or_krx,ratio_decimal,raw_unadjusted,T_trade_day,available_with_lookahead_risk,n/a,종가,vendor-derived 1-day return from raw close; corporate-action distorted; not suitable as performance metric
equity_panel_kiwoom_2010_2016,기관순매매량,vendor_kiwoom_estimation,shares,raw,T_trade_day_post_close,available_with_lookahead_risk,n/a,n/a,"institution net shares; available T+0 after close, must shift +1 for execution"
