defect_id,severity,defect_class,dataset_id,column_name,detail,quarantine_action,remediation
FMC_000001,medium,synthesised_value,equity_panel_kiwoom_2010_2016,KRX종가,source='krx_official_or_synth' — synthesis rule must be documented at use site,ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000002,medium,synthesised_value,equity_panel_krx_2025_2026,KRX종가,source='krx_official_or_synth' — synthesis rule must be documented at use site,ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000003,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,program_basis,unit='index_pt_or_pct',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000004,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,kospi_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000005,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,kospi_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000006,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,kospi_individual_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000007,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,kospi_trade_volume,unit='shares_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000008,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,large_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000009,medium,unit_ambiguous,market_flow_kiwoom_2010_2017,large_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000010,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,kospi_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000011,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,kospi_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000012,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,kospi_individual_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000013,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,kospi_trade_volume,unit='shares_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
