defect_id,severity,classification,file_path,file_category,line_number,column_name,current_runtime_risk,reopen_blocker,patch_status,patch_evidence
QENF_00001,high,INVALID_ROW_LEAK,src/run_experiment.py,entry_point,11573,거래대금추정,inactive_infrastructure_path,true,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent
QENF_00002,high,INVALID_ROW_LEAK,src/run_experiment.py,entry_point,19368,KRX종가,inactive_infrastructure_path,true,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent
QENF_00003,medium,MISSING_GUARD,src/run_experiment.py,entry_point,24433,시가총액추정,inactive_infrastructure_path,true,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent
QENF_00004,medium,MISSING_GUARD,src/run_experiment.py,entry_point,24466,시가총액추정,inactive_infrastructure_path,true,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent
QENF_00005,medium,MISSING_GUARD,src/run_experiment.py,entry_point,24471,시가총액추정,inactive_infrastructure_path,true,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent
QENF_00006,medium,MISSING_GUARD,src/backtest/engine.py,backtest,32,KRX종가,inactive_closed_strategy_path,true,patched,explicit guard added in this phase (patched at src/backtest/engine.py)
QENF_00007,medium,MISSING_GUARD,src/backtest/engine.py,backtest,32,시가,inactive_closed_strategy_path,true,patched,explicit guard added in this phase (patched at src/backtest/engine.py)
QENF_00008,high,INVALID_ROW_LEAK,src/backtest/engine.py,backtest,846,시가,inactive_closed_strategy_path,true,patched,explicit guard added in this phase (patched at src/backtest/engine.py)
QENF_00009,high,INVALID_ROW_LEAK,src/backtest/engine.py,backtest,849,KRX종가,inactive_closed_strategy_path,true,patched,explicit guard added in this phase (patched at src/backtest/engine.py)
QENF_00010,high,INVALID_ROW_LEAK,src/backtest/engine.py,backtest,863,KRX종가,inactive_closed_strategy_path,true,patched,explicit guard added in this phase (patched at src/backtest/engine.py)
QENF_00011,medium,MISSING_GUARD,src/data/market_flow.py,data,10,kospi_foreign_net,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/market_flow.py)
QENF_00012,medium,MISSING_GUARD,src/data/market_flow.py,data,10,kospi_institution_net,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/market_flow.py)
QENF_00013,medium,MISSING_GUARD,src/data/market_flow.py,data,11,kospi_foreign_net,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/market_flow.py)
QENF_00014,medium,MISSING_GUARD,src/data/market_flow.py,data,11,kospi_institution_net,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/market_flow.py)
QENF_00015,medium,MISSING_GUARD,src/data/equity_panel.py,data,12,시가,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00016,medium,MISSING_GUARD,src/data/equity_panel.py,data,13,KRX종가,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00017,medium,MISSING_GUARD,src/data/equity_panel.py,data,26,통합거래량반영여부,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00018,medium,MISSING_GUARD,src/data/equity_panel.py,data,27,통합종가반영여부,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00019,medium,MISSING_GUARD,src/data/equity_panel.py,data,39,KRX종가,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00020,medium,MISSING_GUARD,src/data/equity_panel.py,data,40,거래대금추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00021,medium,MISSING_GUARD,src/data/equity_panel.py,data,41,시가총액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00022,medium,MISSING_GUARD,src/data/equity_panel.py,data,42,외국인순매수금액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00023,medium,MISSING_GUARD,src/data/equity_panel.py,data,43,기관순매수금액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/equity_panel.py)
QENF_00024,medium,MISSING_GUARD,src/data/universe.py,data,6,동적유니버스포함,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/universe.py)
QENF_00025,medium,MISSING_GUARD,src/data/universe.py,data,7,거래대금추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/universe.py)
QENF_00026,medium,MISSING_GUARD,src/data/universe.py,data,9,동적유니버스포함,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/universe.py)
QENF_00027,medium,MISSING_GUARD,src/data/universe.py,data,15,거래대금추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/universe.py)
QENF_00028,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,26,Change,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00029,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,26,daily_return,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00030,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,27,시가총액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00031,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,28,거래대금추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00032,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,29,외국인순매수금액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00033,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,30,외국인순매매량,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00034,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,31,기관순매수금액추정,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00035,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,32,기관순매매량,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00036,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,33,동적유니버스포함,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00037,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,151,동적유니버스포함,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00038,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,154,daily_return,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00039,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,209,daily_return,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00040,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,349,daily_return,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00041,medium,MISSING_GUARD,src/data/sector_aggregator.py,data,488,동적유니버스포함,inactive_infrastructure_path,true,patched,explicit guard added in this phase (patched at src/data/sector_aggregator.py)
QENF_00042,medium,MISSING_GUARD,src/data/pit_sector_aggregator.py,data,215,daily_return,inactive_infrastructure_path,true,not_patched_requires_future_work,no patch heuristic matched; defer to runtime mask propagation phase
QENF_00043,high,INVALID_ROW_LEAK,src/strategies/p003_d013_cost_capacity.py,strategies,94,거래대금추정,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
QENF_00044,medium,MISSING_GUARD,src/strategies/p003_d013_cost_capacity.py,strategies,99,거래대금추정,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
QENF_00045,high,INVALID_ROW_LEAK,src/strategies/p003_d013_cost_capacity.py,strategies,102,거래대금추정,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
QENF_00046,high,INVALID_ROW_LEAK,src/strategies/p003_d013_cost_capacity.py,strategies,105,거래대금추정,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
QENF_00047,medium,MISSING_GUARD,src/strategies/p002_d013_execution.py,strategies,18,KRX종가,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
QENF_00048,medium,MISSING_GUARD,src/strategies/p002_d013_execution.py,strategies,19,KRX종가,inactive_closed_strategy_path,true,still_reopen_blocker,"closed-strategy / closed-ops / closed-backtest path; not patched in this audit-only phase. Engine entry point (run_candidate_backtest) fails closed on missing mask, which blocks reactivation without explicit reopen review."
